Number threads,Size,Number Operation,Time (seconds)
1,200,15960000,0.178582
2,200,15960000,0.084284
3,200,15960000,0.075861
4,200,15960000,0.043753
5,200,15960000,0.040957
6,200,15960000,0.031273
7,200,15960000,0.038481
8,200,15960000,0.036653
1,800,1023360000,10.448179
2,800,1023360000,9.511501
3,800,1023360000,5.543921
4,800,1023360000,4.730123
5,800,1023360000,3.672468
6,800,1023360000,3.023634
7,800,1023360000,2.633200
8,800,1023360000,2.394724
1,1200,3454560000,35.357563
2,1200,3454560000,29.007318
3,1200,3454560000,16.979850
4,1200,3454560000,13.486890
5,1200,3454560000,10.993523
6,1200,3454560000,8.027210
7,1200,3454560000,8.350324
8,1200,3454560000,7.513786
1,1600,8189440000,83.230524
2,1600,8189440000,42.232307
3,1600,8189440000,28.637026
4,1600,8189440000,21.717131
5,1600,8189440000,17.792908
6,1600,8189440000,14.883538
7,1600,8189440000,14.649691
8,1600,8189440000,14.605222
1,2000,15996000000,162.343133
2,2000,15996000000,138.836196
3,2000,15996000000,79.682664
4,2000,15996000000,72.970962
5,2000,15996000000,51.369185
6,2000,15996000000,46.809543
7,2000,15996000000,38.490582
8,2000,15996000000,34.549969
