Number processes,Size,Number Operation,Time (seconds)
1,200,15960000,0.028435
1,800,1023360000,1.673146
1,1200,3454560000,5.585086
1,1600,8189440000,13.196039
1,2000,15996000000,25.919725
2,200,15960000,0.015133
2,800,1023360000,0.882211
2,1200,3454560000,2.81308
2,1600,8189440000,6.750226
2,2000,15996000000,13.022844
4,200,15960000,0.007779
4,800,1023360000,0.464547
4,1200,3454560000,1.486334
4,1600,8189440000,3.498804
4,2000,15996000000,6.781962
8,200,15960000,0.011465
8,800,1023360000,0.280236
8,1200,3454560000,0.909233
8,1600,8189440000,2.139371
8,2000,15996000000,4.011874
